Manufacturer,Part Number,Description,Designator,Footprint,Quantity
Samsung Electro-Mechanics,CL21B104KBCNFNC,0.1µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric),"C1, C2, C3, C4, C6, C8",C_0805,6
Samsung Electro-Mechanics,CL21C270JBANNNC,"27pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)","C5, C7",C_0805,2
Kingbright,APT2012VBC/D,Blue 470nm LED Indication - Discrete 3.3V 0805 (2012 Metric),D1,R_0805,1
Kingbright,APT2012SECK/J3,Red 625nm LED Indication - Discrete 2.2V 0805 (2012 Metric),D2,R_0805,1
Infineon Technologies,IRLML0030TRPbF,MOSFET N-CH 30V 5.3A SOT23,Q1,SOT-23-3,1
Yageo,RC0805FR-0710KL,"10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film",R1,R_0805,1
Yageo,RC0805FR-07100RL,"300 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film","R2, R3",R_0805,2
Yageo,RC0805FR-071KL,"1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film",R4,R_0805,1
Maxim Integrated,MAX3232ECUE+,2/2 Transceiver Full RS232,U1,16-TSSOP,1
Microchip Technology,MCP2515-I/ST,CANbus Controller CAN 2.0 SPI Interface,U3,20-TSSOP,1
Texas Instruments,SN65HVD230DR,1/1 Transceiver Half CANbus,U4,8-SOIC,1
ECS,ECS-80-10-30B-CWN-TR,"±10ppm Crystal 10pF 4-SMD, No Lead",Y1,4-pad SMD,1
Amphenol ICC,LD09P24A4GV00LF,"9 Position D-Sub Plug, Male Pins Connector","J1, J2",DB9,2
JST Sales America Inc.,S2B-XH-A,CONN HEADER R/A 2POS 2.5MM,J3,2-pin through hole,1
Pololu,D36V28F5,"5V, 3.2A Step-Down Voltage Regulator",U2,5-pin through hole,1
